date_article,delai,jours,heures,nbt,nbrt,nbtmedia,nbrtmedia,nbimages,nbvideos,titre,media
04/09/2014 18:49,2,0,0,2,2,0,0,0,0,Rihanna pulpeuse en bikini mauve et crop top noir à Antibes en France,melty.fr
04/08/2014 19:11,2,1,26,30,14,0,0,1,0,Aucune offre de rachat pour Bouygues Telecom,bfmtv.com
03/10/2014 20:20,1,0,0,5,2,0,0,1,0,Reims fait tomber Bordeaux !,bfmtv.com
08/09/2014 22:06,1,15,369,8,8,0,0,0,0,Ray Rice viré des Ravens et suspendu pour avoir frappé sa femme !,lequipe.fr
30/05/2014 10:52,1,1,21,72,50,0,0,0,0,VIDEO. La Confédération paysanne séquestre un conseiller de Hollande à Rodez,francetvinfo.fr
02/08/2014 14:00,0,2,44,40,33,0,0,0,0,Foot : le PSG remporte le Trophée des champions en battant Guingamp (2-0),francetvinfo.fr
21/07/2014 14:02,1,0,6,5,1,0,0,0,0,Tour de France. Quand Voeckler règle ses comptes avec un spectateur  ,ouest-france.fr
28/06/2014 13:07,0,25,605,14,12,1,1,0,0,The Originals saison 2 : Rebekah sera-t-elle de retour ?,melty.fr
11/09/2014 13:29,1,5,118,5,5,0,0,0,0,Bourgogne / Franche-Comté : une marche pour la fusion,francetvinfo.fr
17/02/2014 10:29,0,222,5334,2,2,1,1,0,0,Accident de Schumacher : affaire classée pour la justice,lepoint.fr
30/09/2014 17:52,1,0,0,4,4,0,0,0,0,Kim Kardashian : Kanye West lui pince les fesses en public !,melty.fr
04/08/2014 13:39,0,0,5,4,4,2,2,0,0,Robert Pattinson : Top 5 de ses meilleurs rôles au cinéma !,melty.fr
16/07/2014 18:48,1,0,0,1,1,0,0,0,0,Repérés! Le fil des people pris sur le vif...,20minutes.fr
05/08/2014 16:08,0,1,19,12,4,2,2,0,0,Star Wars Rebels : Les 7 premières minutes dévoilées,melty.fr
05/04/2014 14:57,0,0,0,2,2,0,0,0,0,7 jours BFM: Paroles de remaniés,bfmtv.com
05/08/2014 13:49,0,0,0,4,4,0,0,0,0,Grey's Anatomy : Une nouvelle série pour Ellen Pompeo !,melty.fr
08/04/2014 04:21,1,0,7,5,3,1,1,0,0,Bates Motel Saison 3; c'est confirmé !,melty.fr
11/06/2014 15:46,0,0,6,10,10,0,0,0,0,Tennis. ATP Halle : Gaël Monfils éliminé  ,ouest-france.fr
24/09/2014 06:02,1,0,9,4,4,2,2,0,0,Danse avec les stars 5 : Silvia Notargiacomo et Anthony Kavanagh répètent dans la joie !,melty.fr
09/05/2014 17:26,1,1,25,8,8,0,0,0,0,Upfronts 2014 : Séries annulées; renouvelées... Premier bilan !,melty.fr
02/07/2014 16:14,1,0,0,2,2,0,0,0,0,Kendall Jenner en bikini avec sa BFF Hailey Baldwin dans les Hamptons,melty.fr
12/08/2014 07:40,1,6,133,31,25,3,3,0,0,Anniversaire de François Hollande: comment ses prédécesseurs ont-ils fêté les leurs?,huffingtonpost.fr
16/08/2014 23:47,1,0,2,18,10,0,0,0,0,Secret Story 8 (Steph) : Ses fans lui souhaitent un joyeux anniversaire sur Twitter,melty.fr
24/07/2014 13:57,1,0,4,4,4,0,0,0,0,Nina Dobrev présente son sac luxueux sur Instagram; on aime ?,melty.fr
29/05/2014 09:22,1,0,7,10,10,0,0,0,0,TPMP : L'équipe en mode Booty Shake sexy !,melty.fr
10/10/2014 08:45,1,3,83,154,82,8,8,0,0,Gaz de schiste : le ministère de l’Ecologie étudie des permis d’exploration,bastamag.net
15/06/2014 09:31,0,1,23,15,9,0,0,0,0,Rohff soutient Mario Balotelli pour le Mondial sur Facebook,melty.fr
28/07/2014 15:23,1,0,0,4,4,0,0,0,0,The Leftovers : Episode 6; la vidéo promo dévoilée !,melty.fr
17/06/2014 15:46,1,0,0,6,6,0,0,0,0,Jimmy Kimmel : Sa bataille de bons mots un verre à la main avec Cersei Lannister,melty.fr
06/09/2014 21:33,1,0,9,7,5,0,0,0,0,The Voice Kids : Victoria chante Domino de Jessie J; les twittos enchantés,melty.fr
13/10/2014 14:49,1,0,0,2,2,0,0,0,0,Shameless US saison 5 : Les premières images dévoilées dans une vidéo promo !,melty.fr
08/08/2014 17:07,1,11,257,264,109,1,0,0,0,Turquie : Erdogan met en cause une journaliste « effrontée » et lui intime de « rester à sa place »,lemonde.fr
13/10/2014 09:12,1,1,22,38,21,3,1,0,0,Belgique : jugé proche de l'extrême droite; le ministre de l'Intérieur Jambon fait polémique,francetvinfo.fr
29/04/2014 23:42,1,18,424,420,272,2,2,0,0,Twitter en panne de croissance ? ,lemonde.fr
14/03/2014 11:31,1,73,1754,5,2,3,2,0,0,Le PDG d’Unilever reçoit un méga bonus pour sa contribution au « développement durable »,bastamag.net
28/04/2014 19:40,1,0,0,1,1,0,0,0,0,Bachelor saison 2 la finale; Alix lookée en short blanc le 28 avril,melty.fr
09/08/2014 16:12,1,0,0,2,2,0,0,0,0,Ellen Pompeo avec Jesse Williams de Grey's Anatomy S11 casual au concert de Rihanna et Eminem à LA,melty.fr
25/06/2014 09:15,1,0,2,4,4,0,0,0,0,Les Anges 6 : Kelly Helard arrête la télé ? Elle répond sur Twitter,melty.fr
21/09/2014 21:44,1,0,2,6,4,0,0,0,0,Rihanna nue; les photos piratées dégoûtent Twitter,melty.fr
14/04/2014 17:11,1,0,0,2,2,0,0,0,0,MTV Movie Awards 2014; Zendaya Coleman lookée sexy en robe fendue Ungaro,melty.fr
20/05/2014 18:30,1,0,1,3,3,0,0,0,0,Far Cry 4 : Fuite des personnages et du scénario,melty.fr
01/10/2012 09:48,1,647,15519,7,6,3,2,0,0,Le précariat : « Une classe sociale en devenir »,bastamag.net
02/10/2014 12:11,1,0,2,10,3,0,0,1,0,Gaz: le bras de fer continue entre la Russie et l'Europe,bfmtv.com
