id,date_creation,nbtweets,nbsuiveurs,nbamis,profil
37081,23/04/2013 16:58,287,46,131,News and Information about Christians in Turkey & Middle East
4769,04/03/2009 06:30,17180,2265,2205,Thomson Reuters correspondent covering Israel and Palestine
18892,17/08/2011 15:07,1258,156,348,morrocan/love basketball/politic/rock/anime-manga/psychologie/otaku/in love with USA tv shows Hardore shipper of narusaku(NS) and Chair(GG).Je follow back :)
48311,08/02/2014 18:50,1282,42,54,On a tous du chemin à faire; mais la balade en vaut la peine
49884,10/05/2014 16:46,3919,179,140,per u nostru populu; a nostra anima; a nostra storia; u SCB. absentée et déracinée.Contre l'injustice; l'intolérance; la discrimination et l'enfance EN DANGER.
53007,06/10/2014 08:29,25,3,40,even mist couldn't hide jake gyllenhaal's perfection
31386,02/12/2012 17:46,1403,307,620,Citoyen engagé  Blog: Vision Jeune Articles  Ceux qui vivent sont ceux qui luttent V. Hugo
15622,28/01/2011 11:56,3181,687,302,???? ????? ?????? ?????? ????? ???? ?????? ???? ???????? ?????? ?? ?????? ???????? ????? ????? ?????? (????)
49380,11/04/2014 11:11,5323,149,261,Singer; Musician; Party Booker; ...and just me.
39664,06/07/2013 17:05,5503,561,540,#OnTheRoadAgainTourInGuatemala #Directioner #Hooligan #Engasado #Firebreather @Sophie_Nelisse you're perfect
31773,13/12/2012 19:17,841,47,64,Professeure Documentaliste - Référente TICE - Webmestre
24254,23/05/2012 10:32,3484,380,548,Orgulloso de ser CoDirector de una GRAN FAMILIA como es mi BCT VERA+CRUZ de ALMOGIA
5858,22/04/2009 16:29,23571,952,951,"Music (classical); economics; politics (Labour); food. Investor in; FD @kammandsons, investor in @designmynight, FD @C4britdoc, trustee @LegalActionGrp."
23779,28/04/2012 13:57,13216,161,82,Insta : cl_wtn
7570,16/07/2009 11:08,893,87,197,La vie est une fête !! #rugbywomen a la retraite #sport #sérieTV #France #potins
24634,13/06/2012 02:23,7,3,89,#Oklm#KushUnderground#RDC
9799,11/12/2009 00:01,8339,907,346,In love with life; Lanvin; and rocket science.
3891,17/06/2008 08:32,548,934,1713,Agence de Relations Presse spécialisée dans les RH-Expert RP RHPassé par @ISCPA
19788,15/10/2011 19:17,609,75,130,Consultant en transformation digitale et dématérialisation. Mais avant tout un grand curieux !
14544,03/11/2010 14:11,4585,525,775,Periodista gestado en @fcomnavarra . Política; economía. Ahora en @objetivolasexta
52861,30/09/2014 10:46,31,6,54,Auteur; Comédienne; Humoriste; Accompagnement...                     Amoureuse de la Joie
50482,05/06/2014 17:23,7,3,22,Mesdames et Messieurs; bienvenue sur le twitter officiel du B27 ...Retrouvez toute l'actualité de la Brasserie; nos plats du jours; notre carte;nos soirées
31031,21/11/2012 19:08,309,188,230,responsable #webmarketin tweet sur #emarketing #web2.0 #socialmedia #sport #actu #surf #triathlon
28952,21/09/2012 17:16,10364,304,278,@LyseLysemagard //@mercierclaire1//Camouille
